loan_amnt,term_months,int_rate,installment,annual_inc,dti,fico_score,open_acc,revol_util,home_ownership,purpose,emp_length_years
6482,60,17.0,1143.29,43806,30.22,701,12,106.94,OWN,home_improvement,17
32921,60,27.5,328.09,54486,12.18,788,17,30.68,OWN,car,12
2431,60,27.3,96.28,126898,23.3,681,2,64.71,RENT,debt_consolidation,17
12312,60,22.37,90.0,114191,2.31,604,19,10.73,OWN,car,5
29495,36,18.14,902.77,114097,31.67,698,6,6.72,MORTGAGE,car,12
4791,60,12.67,813.27,146926,24.18,709,19,83.57,MORTGAGE,small_business,6
8833,36,6.51,274.81,97115,17.02,841,5,29.89,MORTGAGE,debt_consolidation,11
31519,60,19.07,410.89,52206,26.11,606,12,5.58,RENT,debt_consolidation,19
6895,60,23.85,788.15,148470,20.52,809,8,36.41,RENT,debt_consolidation,3
6103,36,19.89,54.15,42791,5.86,818,4,18.86,MORTGAGE,debt_consolidation,18
10369,60,16.59,435.5,59767,5.58,661,6,20.73,RENT,car,10
16114,60,25.08,1184.63,30687,9.79,840,8,9.32,OWN,debt_consolidation,17
22180,36,9.85,70.23,154048,8.73,746,5,23.56,OWN,home_improvement,19
18653,60,12.25,645.55,102624,26.48,754,13,25.42,OWN,credit_card,14
31930,36,21.6,1029.66,174684,22.96,694,8,52.25,OWN,small_business,8
25323,36,22.5,869.22,96369,27.91,626,18,47.95,OWN,credit_card,6
29164,36,14.9,457.07,41882,10.76,819,19,62.17,RENT,small_business,9
14900,36,18.39,295.16,104325,16.62,612,8,86.95,OWN,car,11
33745,36,16.89,407.66,100977,27.41,687,9,33.14,OWN,credit_card,2
23009,60,23.14,778.3,169656,34.89,798,5,106.1,OWN,small_business,14
12691,60,25.48,90.46,101096,23.27,651,16,64.97,MORTGAGE,car,7
32899,36,13.23,898.68,95764,0.39,641,1,38.79,OWN,debt_consolidation,0
7078,36,18.9,737.93,107521,20.73,747,2,7.44,RENT,small_business,1
14304,60,17.19,855.85,107498,33.74,690,10,13.54,RENT,credit_card,14
29178,36,6.73,1012.88,47011,30.62,650,12,92.9,RENT,car,1
22909,36,14.59,608.57,85827,3.4,679,12,48.75,OWN,small_business,0
32721,36,8.63,256.42,90921,11.82,639,12,71.93,RENT,debt_consolidation,4
29151,36,27.22,207.41,175905,26.56,760,1,106.81,OWN,home_improvement,13
9004,36,15.35,246.72,55455,16.26,647,4,109.12,MORTGAGE,home_improvement,5
19690,60,7.58,521.48,121795,27.55,638,2,89.91,MORTGAGE,small_business,3
3763,60,24.24,173.51,58919,15.95,829,18,116.2,OWN,home_improvement,17
16721,60,23.52,1177.53,142235,28.72,684,9,72.77,RENT,car,13
6596,36,24.67,185.29,156579,13.88,608,18,37.24,OWN,small_business,19
20596,36,14.75,241.15,52456,13.25,647,12,118.46,OWN,car,10
32301,60,14.66,1019.8,29096,26.36,804,8,111.69,OWN,small_business,12
20541,36,23.43,972.47,58057,25.17,709,2,45.88,OWN,home_improvement,7
16966,36,23.63,543.02,39806,26.6,842,13,81.94,MORTGAGE,home_improvement,4
34998,36,10.73,957.45,96803,6.63,664,12,47.04,MORTGAGE,credit_card,0
25363,36,27.58,1000.54,177726,1.68,831,5,65.72,MORTGAGE,small_business,8
7313,60,14.73,1126.96,85526,17.15,604,2,88.54,RENT,debt_consolidation,18
16581,36,19.88,276.13,190673,7.71,773,19,38.59,RENT,car,12
21017,60,27.29,1189.82,76718,18.75,822,2,10.37,OWN,debt_consolidation,17
21445,60,10.36,267.07,27344,4.65,680,19,43.35,RENT,home_improvement,17
17959,36,20.95,377.71,177333,20.15,822,1,40.86,MORTGAGE,debt_consolidation,6
1412,60,8.2,148.05,126892,26.03,602,6,29.33,RENT,car,7
29926,36,15.02,641.3,89980,21.73,820,11,99.18,RENT,home_improvement,3
5018,60,13.07,908.5,179152,11.96,617,9,30.9,MORTGAGE,home_improvement,16
24545,36,14.27,1029.62,47039,7.18,659,3,31.59,MORTGAGE,small_business,10
24071,60,17.43,548.89,34628,24.41,590,11,57.79,RENT,home_improvement,4
29572,60,11.55,1020.45,61104,14.27,766,5,65.15,OWN,debt_consolidation,13
24386,36,8.32,1138.79,54890,0.87,683,5,113.75,RENT,car,10
19610,60,10.92,761.95,164843,20.39,684,7,76.58,OWN,home_improvement,9
18450,60,13.31,532.6,75134,30.69,633,9,68.28,OWN,debt_consolidation,3
23403,60,19.04,636.1,176850,10.82,779,10,66.56,MORTGAGE,home_improvement,3
8368,36,16.99,536.52,107798,15.14,812,8,6.03,OWN,debt_consolidation,13
21059,60,25.07,659.75,132695,1.11,640,7,93.01,RENT,home_improvement,5
20096,60,23.57,1154.24,75344,17.13,791,16,45.18,MORTGAGE,home_improvement,13
1798,36,26.21,885.71,97240,13.06,680,4,77.82,OWN,home_improvement,2
29694,60,22.21,1041.9,104833,4.96,819,10,18.02,RENT,debt_consolidation,19
28569,60,6.25,914.87,132616,22.14,655,16,80.84,MORTGAGE,small_business,5
31654,60,12.1,1195.49,153745,34.19,701,6,16.79,MORTGAGE,debt_consolidation,4
5922,36,23.6,386.94,147215,14.37,663,8,41.8,RENT,car,2
26954,60,9.52,502.52,25213,14.57,823,1,74.93,MORTGAGE,credit_card,8
27289,36,7.88,940.01,85364,1.91,660,4,46.75,RENT,credit_card,13
7305,60,13.41,365.42,137715,18.94,807,19,48.14,MORTGAGE,debt_consolidation,15
6906,60,20.58,1087.3,198124,4.23,628,1,16.25,MORTGAGE,car,6
26446,60,24.17,1022.75,124122,28.19,769,16,16.43,MORTGAGE,car,15
18144,36,6.25,600.26,83177,1.85,716,10,98.41,MORTGAGE,home_improvement,19
19052,60,14.02,97.5,140788,4.81,582,4,24.85,OWN,credit_card,0
32417,36,25.76,847.04,131316,4.6,686,2,50.59,MORTGAGE,small_business,13
27572,36,9.23,857.55,103731,32.22,737,17,16.32,RENT,car,10
2401,60,10.97,916.29,62423,33.73,634,13,81.6,MORTGAGE,debt_consolidation,15
9448,36,24.54,836.02,88500,14.08,717,15,92.3,MORTGAGE,credit_card,3
17743,60,12.56,709.28,54482,6.42,639,12,24.91,RENT,credit_card,13
